Frequency (Hz)	Z (Ω)	-Phase (°)	Z' (Ω)	-Z'' (Ω)	Column 6
25.119	484888.880253895	88.8893655602036	9398.60788243379	484797.785023559	
15.849	763440.622746109	88.8193239242523	15730.8669999109	763278.536500535	
10	1203816.942658	88.5838289807429	29751.529727517	1203449.24193308	
Frequency (Hz)	Z (Ω)	-Phase (°)	Z' (Ω)	-Z'' (Ω)	Column 6
1000000	26.0662697477792	35.7268299096232	21.1608632107055	15.2206532954994	0.25
630960	34.5458302032531	49.6965135928362	22.3454930555348	26.3456509605862	
398110	48.7874377908371	59.8365296282883	24.5141660737503	42.1813910143252	
251190	70.8954818203712	66.7620108950653	27.9719003915596	65.1440107072573	
158490	104.796852700372	71.6065706286563	33.0676218118619	99.4430124423584	
100000	155.76523017447	75.2515938527532	39.6539407683386	150.633236414965	
63096	233.556213811188	78.2836051760807	47.4276730492703	228.690010361076	
39811	354.429458220189	80.9294236191538	55.8761482008821	349.997281298712	
25119	542.412521758546	83.6111896204434	60.3568727896721	539.043960793103	
15849	842.325057596096	85.1839510402326	70.7190552613808	839.351129073646	
10000	1320.18985295069	86.3361297750502	84.3641269055254	1317.49153391034	
6309.6	2070.34846540477	87.1315976383066	103.604700547535	2067.7545391628	
3981.1	3251.39582202514	87.6902388217894	131.037817500748	3248.754204594	
2511.9	5098.74106175757	88.1039410189369	168.699151312131	5095.949471021	
1584.9	8046.84681138849	88.3642956878946	229.693605904892	8043.56789325231	
1000	12662.391261171	88.5517361989855	320.032824335946	12658.3463154682	
630.96	19939.1542893125	88.696591644233	453.552059496824	19933.9951916904	
398.11	31425.1820328633	88.8014289846552	657.335769379897	31418.3063751834	
251.19	49553.5015397573	88.8984844567474	952.611000180896	49544.3442497028	
158.49	78196.1126308603	88.9700283905618	1405.6085628611	78183.4784027048	
100	123433.376332493	89.0122484844943	2127.82628083738	123415.034530471	
63.096	194693.542470623	89.0103658407224	3362.65256709845	194664.501251443	
39.811	307258.006441364	89.017263961817	5269.82464379692	307212.811371116	
25.119	484214.390041633	88.8330531104744	9861.34434925288	484113.963247308	
15.849	761423.984656898	88.7737116513136	16295.3376980273	761249.595323436	
10	1205323.63670386	88.5510674027805	30477.7521672512	1204938.24564575	
